ADM0_NAME,flow_name,metric,value
Gambia,Banana_irr_2030y_SOC,cf_mean,17.315233
Gaza Strip,Banana_irr_2030y_SOC,cf_mean,21.463835
Georgia,Banana_irr_2030y_SOC,cf_mean,
Germany,Banana_irr_2030y_SOC,cf_mean,
Ghana,Banana_irr_2030y_SOC,cf_mean,20.77476
Gibraltar,Banana_irr_2030y_SOC,cf_mean,45.402447
Glorioso Island,Banana_irr_2030y_SOC,cf_mean,
Greece,Banana_irr_2030y_SOC,cf_mean,75.39942
Greenland,Banana_irr_2030y_SOC,cf_mean,
Grenada,Banana_irr_2030y_SOC,cf_mean,75.27757
Guadeloupe,Banana_irr_2030y_SOC,cf_mean,
Guam,Banana_irr_2030y_SOC,cf_mean,
Guatemala,Banana_irr_2030y_SOC,cf_mean,50.46193
Guernsey,Banana_irr_2030y_SOC,cf_mean,
Guinea,Banana_irr_2030y_SOC,cf_mean,26.741896
Guinea-Bissau,Banana_irr_2030y_SOC,cf_mean,22.278046
Guyana,Banana_irr_2030y_SOC,cf_mean,35.060608
Haiti,Banana_irr_2030y_SOC,cf_mean,45.191494
Hala'ib triangle,Banana_irr_2030y_SOC,cf_mean,15.559376
Heard Island and McDonald Islands,Banana_irr_2030y_SOC,cf_mean,
Holy See,Banana_irr_2030y_SOC,cf_mean,
Honduras,Banana_irr_2030y_SOC,cf_mean,45.59605
Hong Kong,Banana_irr_2030y_SOC,cf_mean,33.15541
Howland Island,Banana_irr_2030y_SOC,cf_mean,
Hungary,Banana_irr_2030y_SOC,cf_mean,
Iceland,Banana_irr_2030y_SOC,cf_mean,
Ilemi triangle,Banana_irr_2030y_SOC,cf_mean,
India,Banana_irr_2030y_SOC,cf_mean,29.801174
Indonesia,Banana_irr_2030y_SOC,cf_mean,65.024666
Iran  (Islamic Republic of),Banana_irr_2030y_SOC,cf_mean,8.294673
Iraq,Banana_irr_2030y_SOC,cf_mean,18.839916
Ireland,Banana_irr_2030y_SOC,cf_mean,
Isle of Man,Banana_irr_2030y_SOC,cf_mean,
Israel,Banana_irr_2030y_SOC,cf_mean,28.53044
Italy,Banana_irr_2030y_SOC,cf_mean,60.664528
Jamaica,Banana_irr_2030y_SOC,cf_mean,85.17638
Jammu and Kashmir,Banana_irr_2030y_SOC,cf_mean,30.555359
Japan,Banana_irr_2030y_SOC,cf_mean,72.830894
Jarvis Island,Banana_irr_2030y_SOC,cf_mean,
Jersey,Banana_irr_2030y_SOC,cf_mean,
Johnston Atoll,Banana_irr_2030y_SOC,cf_mean,
Jordan,Banana_irr_2030y_SOC,cf_mean,24.123652
Juan de Nova Island,Banana_irr_2030y_SOC,cf_mean,
Kazakhstan,Banana_irr_2030y_SOC,cf_mean,
Kenya,Banana_irr_2030y_SOC,cf_mean,24.232132
Kingman Reef,Banana_irr_2030y_SOC,cf_mean,
Kiribati,Banana_irr_2030y_SOC,cf_mean,
Kuril islands,Banana_irr_2030y_SOC,cf_mean,
Kuwait,Banana_irr_2030y_SOC,cf_mean,17.026314
Kyrgyzstan,Banana_irr_2030y_SOC,cf_mean,
Lao People's Democratic Republic,Banana_irr_2030y_SOC,cf_mean,37.96254
Latvia,Banana_irr_2030y_SOC,cf_mean,
Lebanon,Banana_irr_2030y_SOC,cf_mean,53.573563
Lesotho,Banana_irr_2030y_SOC,cf_mean,
Liberia,Banana_irr_2030y_SOC,cf_mean,28.567652
Libya,Banana_irr_2030y_SOC,cf_mean,16.57468
Liechtenstein,Banana_irr_2030y_SOC,cf_mean,
Lithuania,Banana_irr_2030y_SOC,cf_mean,
Luxembourg,Banana_irr_2030y_SOC,cf_mean,
Ma'tan al-Sarra,Banana_irr_2030y_SOC,cf_mean,12.878859
Macau,Banana_irr_2030y_SOC,cf_mean,
Madagascar,Banana_irr_2030y_SOC,cf_mean,32.35127
Madeira Islands,Banana_irr_2030y_SOC,cf_mean,
Malawi,Banana_irr_2030y_SOC,cf_mean,24.047703
Malaysia,Banana_irr_2030y_SOC,cf_mean,40.374084
Maldives,Banana_irr_2030y_SOC,cf_mean,
Mali,Banana_irr_2030y_SOC,cf_mean,14.036196
Malta,Banana_irr_2030y_SOC,cf_mean,
Marshall Islands,Banana_irr_2030y_SOC,cf_mean,
Martinique,Banana_irr_2030y_SOC,cf_mean,
Mauritania,Banana_irr_2030y_SOC,cf_mean,12.329372
Mauritius,Banana_irr_2030y_SOC,cf_mean,73.27149
Mayotte,Banana_irr_2030y_SOC,cf_mean,
Mexico,Banana_irr_2030y_SOC,cf_mean,32.907852
Micronesia (Federated States of),Banana_irr_2030y_SOC,cf_mean,93.65661
Midway Island,Banana_irr_2030y_SOC,cf_mean,
"Moldova, Republic of",Banana_irr_2030y_SOC,cf_mean,
Monaco,Banana_irr_2030y_SOC,cf_mean,
Mongolia,Banana_irr_2030y_SOC,cf_mean,
Montenegro,Banana_irr_2030y_SOC,cf_mean,
Montserrat,Banana_irr_2030y_SOC,cf_mean,
Morocco,Banana_irr_2030y_SOC,cf_mean,26.830524
Mozambique,Banana_irr_2030y_SOC,cf_mean,21.70714
Myanmar,Banana_irr_2030y_SOC,cf_mean,44.27983
Namibia,Banana_irr_2030y_SOC,cf_mean,19.061352
Nauru,Banana_irr_2030y_SOC,cf_mean,
Navassa Island,Banana_irr_2030y_SOC,cf_mean,
Nepal,Banana_irr_2030y_SOC,cf_mean,30.269632
Netherlands,Banana_irr_2030y_SOC,cf_mean,
Netherlands Antilles,Banana_irr_2030y_SOC,cf_mean,
New Caledonia,Banana_irr_2030y_SOC,cf_mean,61.365406
New Zealand,Banana_irr_2030y_SOC,cf_mean,
Nicaragua,Banana_irr_2030y_SOC,cf_mean,43.3896
Niger,Banana_irr_2030y_SOC,cf_mean,13.632056
Nigeria,Banana_irr_2030y_SOC,cf_mean,17.04505
Niue,Banana_irr_2030y_SOC,cf_mean,62.98589
Norfolk Island,Banana_irr_2030y_SOC,cf_mean,
Northern Mariana Islands,Banana_irr_2030y_SOC,cf_mean,
Norway,Banana_irr_2030y_SOC,cf_mean,
Oman,Banana_irr_2030y_SOC,cf_mean,12.925168
Pakistan,Banana_irr_2030y_SOC,cf_mean,10.826706
Palau,Banana_irr_2030y_SOC,cf_mean,
Palmyra Atoll,Banana_irr_2030y_SOC,cf_mean,
Panama,Banana_irr_2030y_SOC,cf_mean,47.544018
Papua New Guinea,Banana_irr_2030y_SOC,cf_mean,52.709473
Paracel Islands,Banana_irr_2030y_SOC,cf_mean,
Paraguay,Banana_irr_2030y_SOC,cf_mean,25.126915
Peru,Banana_irr_2030y_SOC,cf_mean,34.064224
Philippines,Banana_irr_2030y_SOC,cf_mean,60.139534
Pitcairn,Banana_irr_2030y_SOC,cf_mean,
Poland,Banana_irr_2030y_SOC,cf_mean,
Portugal,Banana_irr_2030y_SOC,cf_mean,37.77688
Puerto Rico,Banana_irr_2030y_SOC,cf_mean,104.856544
Qatar,Banana_irr_2030y_SOC,cf_mean,11.6623745
Republic of Korea,Banana_irr_2030y_SOC,cf_mean,
Romania,Banana_irr_2030y_SOC,cf_mean,
Russian Federation,Banana_irr_2030y_SOC,cf_mean,
Rwanda,Banana_irr_2030y_SOC,cf_mean,42.35905
Réunion,Banana_irr_2030y_SOC,cf_mean,
Saint Helena,Banana_irr_2030y_SOC,cf_mean,
Saint Kitts and Nevis,Banana_irr_2030y_SOC,cf_mean,
Saint Lucia,Banana_irr_2030y_SOC,cf_mean,95.65442
Saint Pierre et Miquelon,Banana_irr_2030y_SOC,cf_mean,
Saint Vincent and the Grenadines,Banana_irr_2030y_SOC,cf_mean,89.780014
Samoa,Banana_irr_2030y_SOC,cf_mean,86.09382
San Marino,Banana_irr_2030y_SOC,cf_mean,
Sao Tome and Principe,Banana_irr_2030y_SOC,cf_mean,80.46566
Saudi Arabia,Banana_irr_2030y_SOC,cf_mean,18.571299
Scarborough Reef,Banana_irr_2030y_SOC,cf_mean,
Senegal,Banana_irr_2030y_SOC,cf_mean,16.252314
Senkaku Islands,Banana_irr_2030y_SOC,cf_mean,
Serbia,Banana_irr_2030y_SOC,cf_mean,
Seychelles,Banana_irr_2030y_SOC,cf_mean,
Sierra Leone,Banana_irr_2030y_SOC,cf_mean,30.684895
Singapore,Banana_irr_2030y_SOC,cf_mean,28.98642
Slovakia,Banana_irr_2030y_SOC,cf_mean,
Slovenia,Banana_irr_2030y_SOC,cf_mean,
Solomon Islands,Banana_irr_2030y_SOC,cf_mean,73.86733
Somalia,Banana_irr_2030y_SOC,cf_mean,20.966131
South Africa,Banana_irr_2030y_SOC,cf_mean,34.07157
South Georgia and the South Sandwich Islands,Banana_irr_2030y_SOC,cf_mean,
South Sudan,Banana_irr_2030y_SOC,cf_mean,20.951601
Spain,Banana_irr_2030y_SOC,cf_mean,47.1547
Spratly Islands,Banana_irr_2030y_SOC,cf_mean,
Sri Lanka,Banana_irr_2030y_SOC,cf_mean,
Sudan,Banana_irr_2030y_SOC,cf_mean,14.1388645
Suriname,Banana_irr_2030y_SOC,cf_mean,28.660227
Svalbard and Jan Mayen Islands,Banana_irr_2030y_SOC,cf_mean,
Swaziland,Banana_irr_2030y_SOC,cf_mean,38.660015
Sweden,Banana_irr_2030y_SOC,cf_mean,
Switzerland,Banana_irr_2030y_SOC,cf_mean,
Syrian Arab Republic,Banana_irr_2030y_SOC,cf_mean,75.84839
Taiwan,Banana_irr_2030y_SOC,cf_mean,
Tajikistan,Banana_irr_2030y_SOC,cf_mean,
Thailand,Banana_irr_2030y_SOC,cf_mean,31.18777
The former Yugoslav Republic of Macedonia,Banana_irr_2030y_SOC,cf_mean,
Timor-Leste,Banana_irr_2030y_SOC,cf_mean,58.29859
Togo,Banana_irr_2030y_SOC,cf_mean,18.965775
Tokelau,Banana_irr_2030y_SOC,cf_mean,
Tonga,Banana_irr_2030y_SOC,cf_mean,70.438576
Trinidad and Tobago,Banana_irr_2030y_SOC,cf_mean,67.58601
Tromelin Island,Banana_irr_2030y_SOC,cf_mean,
Tunisia,Banana_irr_2030y_SOC,cf_mean,23.167042
Turkey,Banana_irr_2030y_SOC,cf_mean,
Turkmenistan,Banana_irr_2030y_SOC,cf_mean,
Turks and Caicos islands,Banana_irr_2030y_SOC,cf_mean,
Tuvalu,Banana_irr_2030y_SOC,cf_mean,
U.K. of Great Britain and Northern Ireland,Banana_irr_2030y_SOC,cf_mean,
Uganda,Banana_irr_2030y_SOC,cf_mean,39.859074
Ukraine,Banana_irr_2030y_SOC,cf_mean,
United Arab Emirates,Banana_irr_2030y_SOC,cf_mean,23.486671
United Republic of Tanzania,Banana_irr_2030y_SOC,cf_mean,23.839418
United States Virgin Islands,Banana_irr_2030y_SOC,cf_mean,
United States of America,Banana_irr_2030y_SOC,cf_mean,25.974928
Uruguay,Banana_irr_2030y_SOC,cf_mean,42.3985
