ECO_ID,flow_name,metric,value,ECO_NAME,BIOME_NUM,BIOME_NAME,REALM
407,Apple_irr_2030y_SOC,cf_mean,,Arctic coastal tundra,11.0,Tundra,Nearctic
778,Apple_irr_2030y_SOC,cf_mean,,Russian Arctic desert,11.0,Tundra,Palearctic
408,Apple_irr_2030y_SOC,cf_mean,,Arctic foothills tundra,11.0,Tundra,Nearctic
346,Apple_irr_2030y_SOC,cf_mean,32.295822,Arizona Mountains forests,5.0,Temperate Conifer Forests,Nearctic
181,Apple_irr_2030y_SOC,cf_mean,23.325048,Arnhem Land tropical savanna,7.0,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Australasia
37,Apple_irr_2030y_SOC,cf_mean,,Ascension scrub and grasslands,7.0,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Afrotropic
598,Apple_irr_2030y_SOC,cf_mean,,Atacama desert,13.0,Deserts & Xeric Shrublands,Neotropic
441,Apple_irr_2030y_SOC,cf_mean,52.851498,Atlantic Coast restingas,1.0,Tropical & Subtropical Moist Broadleaf Forests,Neotropic
839,Apple_irr_2030y_SOC,cf_mean,,Saharan Atlantic coastal desert,13.0,Deserts & Xeric Shrublands,Palearctic
347,Apple_irr_2030y_SOC,cf_mean,,Atlantic coastal pine barrens,5.0,Temperate Conifer Forests,Nearctic
5,Apple_irr_2030y_SOC,cf_mean,,Congolian coastal forests,1.0,Tropical & Subtropical Moist Broadleaf Forests,Afrotropic
664,Apple_irr_2030y_SOC,cf_mean,41.053566,European Atlantic mixed forests,4.0,Temperate Broadleaf & Mixed Forests,Palearctic
193,Apple_irr_2030y_SOC,cf_mean,62.488144,Australian Alps montane grasslands,10.0,Montane Grasslands & Shrublands,Australasia
812,Apple_irr_2030y_SOC,cf_mean,,Azerbaijan shrub desert and steppe,13.0,Deserts & Xeric Shrublands,Palearctic
645,Apple_irr_2030y_SOC,cf_mean,,Azores temperate mixed forests,4.0,Temperate Broadleaf & Mixed Forests,Palearctic
813,Apple_irr_2030y_SOC,cf_mean,,Badghyz and Karabil semi-desert,13.0,Deserts & Xeric Shrublands,Palearctic
612,Apple_irr_2030y_SOC,cf_mean,60.44113,Bahamian-Antillean mangroves,14.0,Mangroves,Neotropic
442,Apple_irr_2030y_SOC,cf_mean,32.595238,Bahia coastal forests,1.0,Tropical & Subtropical Moist Broadleaf Forests,Neotropic
443,Apple_irr_2030y_SOC,cf_mean,31.12183,Bahia interior forests,1.0,Tropical & Subtropical Moist Broadleaf Forests,Neotropic
426,Apple_irr_2030y_SOC,cf_mean,15.467706,Baja California desert,13.0,Deserts & Xeric Shrublands,Nearctic
