flow,level,n_regions,mean_leaf,median_leaf,std_leaf,p10,p90,max_leaf,mean_within_std,cv,flow_label,indicator
acid_nh3,country,276,1.4862,0.8902,1.6921,0.0412,3.8596,12.5803,0.5532,1.1385,NH₃ (acidification),acidification
acid_nh3,subcountry,3422,1.7681,1.0861,1.8478,0.3853,4.2567,20.7159,0.311,1.0451,NH₃ (acidification),acidification
acid_nh3,ecoregion,829,1.7429,1.032,2.1542,0.2051,4.1189,21.9585,0.6661,1.236,NH₃ (acidification),acidification
acid_nox,country,276,0.3181,0.2092,0.3114,0.0303,0.805,1.643,0.0607,0.9789,NOₓ (acidification),acidification
acid_nox,subcountry,3422,0.3832,0.2643,0.3113,0.0745,0.8285,1.8459,0.0294,0.8123,NOₓ (acidification),acidification
acid_nox,ecoregion,829,0.3292,0.2122,0.3021,0.0709,0.7808,1.6122,0.0594,0.9178,NOₓ (acidification),acidification
acid_so2,country,276,0.9227,0.6523,0.8935,0.0588,2.2619,4.7071,0.2668,0.9684,SO₂ (acidification),acidification
acid_so2,subcountry,3422,1.1012,0.8261,0.9314,0.1738,2.4821,10.7693,0.1352,0.8458,SO₂ (acidification),acidification
acid_so2,ecoregion,829,1.074,0.72,1.0226,0.1715,2.5123,7.3849,0.279,0.9521,SO₂ (acidification),acidification
