flow,flow_label,subcty_within_country_frac,subcty_n_units,eco_between_biome_eta2,eco_between_realm_eta2,eco_n_units
Wheat|rf|roff|ct,Wheat (rainfed),0.2338497012964192,2189,0.4304075743683168,0.31559864442666524,637
Maize|rf|roff|ct,Maize (rainfed),0.30451025981769986,2637,0.26852684420171796,0.1990422560354728,676
Soybeans|rf|na|ct,Soybeans (rainfed),0.30996061817769,2610,0.259524854052648,0.18739708655143067,678
Oil_palm|rf|na|ct,Oil palm (rainfed),0.4213890425268773,1021,0.11681123005752718,0.09854975629541136,336
Coffee|rf|na|ct,Coffee (rainfed),0.4368474843923494,1218,0.16853056455868343,0.12134680166606546,390
Sugarcane|rf|na|ct,Sugarcane (rainfed),0.38511667437819663,1448,0.18831701195925127,0.09062573931557728,454
Cotton|rf|na|ct,Cotton (rainfed),0.33978399624456596,2120,0.218145956134902,0.1520945749472559,583
Grassland,Grassland,0.4020220609780993,2422,0.2871342370469659,0.1558630682579413,718
BRDC_Tropical,Broadleaf-decid. forest (tropical),0.4609859782746883,1427,0.2780260557610187,0.1734808981235997,444
