flow,level,n_regions,mean_leaf,median_leaf,std_leaf,p10,p90,max_leaf,mean_within_std,cv,flow_label
Apples|irr|na|ct,country,92,39.62985210978261,19.867803000000002,56.45550787833706,2.6459287799999998,97.4232110000001,348.05737,29.577008225434785,1.4245702386661454,Apples (irrigated)
Apples|irr|na|ct,subcountry,1028,37.257142821439686,14.981701000000001,50.81676430850576,1.8061304,106.25429650000001,348.05737,23.980210556716926,1.363946896090571,Apples (irrigated)
Apples|irr|na|ct,ecoregion,409,34.62486321,15.677445,42.249001507561466,2.35462618,95.28500399999999,236.98842,25.88059263867237,1.2201925896810342,Apples (irrigated)
Apples|rf|na|ct,country,92,39.625231979347824,19.867803000000002,56.45536517843828,2.6459287799999998,97.42029800000009,348.05634,29.568120512391307,1.4247327361480713,Apples (rainfed)
Apples|rf|na|ct,subcountry,1028,37.253825319220816,14.981701000000001,50.81552760036845,1.8061304,106.25428000000001,348.05634,23.956818766172177,1.3640351605490182,Apples (rainfed)
Apples|rf|na|ct,ecoregion,409,34.61486373929095,15.677445,42.25206681464015,2.35462618,95.37632199999999,236.98792,25.85424896045477,1.2206336310571777,Apples (rainfed)
BRDC_Boreal_dry,country,8,0.091962952875,0.06483282700000001,0.08124936012231036,0.020720234700000003,0.20130204999999998,0.2331384,0.1157710432875,0.8835009923262032,Broadleaf-decid. Boreal dry
BRDC_Boreal_dry,subcountry,90,0.11403371309888889,0.03916682,0.16500704058785673,0.00652116206,0.30450698,1.0542862,0.09516301272333333,1.4470022601541026,Broadleaf-decid. Boreal dry
BRDC_Boreal_dry,ecoregion,54,0.09727420616851852,0.036553406499999996,0.12060446174911746,0.0068858776100000005,0.218557194,0.69701993,0.09525246901296296,1.2398401025260637,Broadleaf-decid. Boreal dry
BRDC_Boreal_moist,country,8,0.078514556175,0.048528680000000005,0.07694654918515345,0.01924154802,0.193100109,0.21190353,0.1183454582875,0.980029091849521,Broadleaf-decid. Boreal moist
BRDC_Boreal_moist,subcountry,85,0.11468858278470588,0.04045735,0.17243517178732284,0.00618309856,0.27765837800000015,1.20737,0.09984127870635295,1.5035077389614206,Broadleaf-decid. Boreal moist
BRDC_Boreal_moist,ecoregion,54,0.10036282438148147,0.037051649,0.1339970423936103,0.0070033811999999996,0.243584863,0.68044674,0.09797272516357408,1.3351262603400276,Broadleaf-decid. Boreal moist
BRDC_Cold_temperate_dry,country,60,0.27478362309166665,0.119669405,0.3452368648088998,0.014389108450000002,0.70746572,1.548576,0.24309801669166664,1.2563953445425322,Broadleaf-decid. Cold temperate dry
BRDC_Cold_temperate_dry,subcountry,946,0.28343384389423887,0.085294837,0.4950787562002899,0.009921633499999999,0.8135816149999999,2.9696448,0.14841812579305497,1.7467171506343635,Broadleaf-decid. Cold temperate dry
BRDC_Cold_temperate_dry,ecoregion,215,0.27281624234697677,0.12836854,0.36329669226716527,0.015856063200000003,0.784478702,1.8050432,0.22352730837581394,1.3316534570735434,Broadleaf-decid. Cold temperate dry
BRDC_Cold_temperate_moist,country,60,0.27294785374999997,0.12085122,0.34324668617180143,0.0143901749,0.705656955,1.5478805,0.23984830862833334,1.2575540765606825,Broadleaf-decid. Cold temperate moist
BRDC_Cold_temperate_moist,subcountry,947,0.2815807437723865,0.08706836,0.4916616821071986,0.009715808,0.806065964,2.966686,0.14612075131459343,1.746077077289878,Broadleaf-decid. Cold temperate moist
BRDC_Cold_temperate_moist,ecoregion,216,0.27097946082083335,0.13107026500000002,0.3609540575759247,0.015946741,0.7692576499999999,1.8038161,0.22091922274027778,1.3320347471448433,Broadleaf-decid. Cold temperate moist
BRDC_Subtropical,country,72,0.726771487125,0.345777465,1.1402753303901494,0.0655131206,1.8508930999999993,7.0291147,0.49249510761111115,1.5689599146231084,Broadleaf-decid. Subtropical
BRDC_Subtropical,subcountry,765,0.5992604182763399,0.23629354,0.9863076572000053,0.025635288800000003,1.42781012,7.0291147,0.3493584980323791,1.6458748602768294,Broadleaf-decid. Subtropical
BRDC_Subtropical,ecoregion,269,0.5402927132301115,0.22726303,0.837939943414703,0.019241513999999998,1.3401331800000011,5.437272,0.3928916686630855,1.5508999527406602,Broadleaf-decid. Subtropical
BRDC_Tropical,country,107,0.8856929505794392,0.5035486,1.0165083676245878,0.06044943400000002,2.1516502400000004,5.645721,0.7741842104485981,1.1476983834629895,Broadleaf-decid. forest (tropical)
BRDC_Tropical,subcountry,1427,0.8517285128318149,0.44685003,1.001228139495131,0.066547242,2.187382540000001,8.166296,0.6042894999088577,1.1755249758708461,Broadleaf-decid. forest (tropical)
BRDC_Tropical,ecoregion,445,1.0307130915191012,0.5261183,1.1115441874764729,0.09922178300000001,2.77630232,5.645721,0.7558522233828538,1.078422498581288,Broadleaf-decid. forest (tropical)
BRDC_Warm_temperate_dry,country,60,0.2839320196416667,0.124471215,0.35645746009781076,0.014459353700000002,0.714769525,1.6081934,0.254784285035,1.255432411419022,Broadleaf-decid. Warm temperate dry
BRDC_Warm_temperate_dry,subcountry,945,0.2933806961336508,0.08485141,0.5285213223824369,0.0097799446,0.8138615720000001,3.2504914,0.15551794198478308,1.8014863600353133,Broadleaf-decid. Warm temperate dry
BRDC_Warm_temperate_dry,ecoregion,211,0.2754910832597156,0.1361822,0.3732867536942979,0.01649226,0.771683,1.9187558,0.22931113147014218,1.3549866996689208,Broadleaf-decid. Warm temperate dry
BRDC_Warm_temperate_moist,country,72,0.726771487125,0.345777465,1.1402753303901494,0.0655131206,1.8508930999999993,7.0291147,0.49249510761111115,1.5689599146231084,Broadleaf-decid. Warm temperate moist
BRDC_Warm_temperate_moist,subcountry,765,0.5992604182763399,0.23629354,0.9863076572000053,0.025635288800000003,1.42781012,7.0291147,0.3493584980323791,1.6458748602768294,Broadleaf-decid. Warm temperate moist
BRDC_Warm_temperate_moist,ecoregion,269,0.5402927132301115,0.22726303,0.837939943414703,0.019241513999999998,1.3401331800000011,5.437272,0.3928916686630855,1.5508999527406602,Broadleaf-decid. Warm temperate moist
Bananas|irr|na|ct,country,146,44.67089438691781,20.0307295,65.2630518441156,2.20965995,114.9979675,361.68015,32.84091553349315,1.4609748190586564,Bananas (irrigated)
Bananas|irr|na|ct,subcountry,1790,39.75345259797765,15.7794775,55.7485672172352,1.5988817000000002,113.37335700000003,385.99545,25.71023465616131,1.4023578726862898,Bananas (irrigated)
Bananas|irr|na|ct,ecoregion,538,46.89822495132714,20.276844,57.887891911204626,1.9479393600000001,135.75470400000003,366.71133,34.92779965030762,1.234330125954298,Bananas (irrigated)
Bananas|rf|na|ct,country,113,64.43269163628318,35.74128,74.12911354732114,7.869304400000001,125.035084,424.2218,46.45163375663717,1.1504891641928199,Bananas (rainfed)
Bananas|rf|na|ct,subcountry,1296,58.96824093742284,35.1168935,65.80428560323887,6.99549715,136.23309,461.3626,36.25844191023256,1.1159275663839192,Bananas (rainfed)
Bananas|rf|na|ct,ecoregion,420,66.11654606095237,45.293442,62.324259924809304,8.928153,152.69677500000003,366.71133,47.06570448214286,0.9426424040262631,Bananas (rainfed)
Barley|irr|roff|ct,country,160,60.102660834687505,19.832449,88.07206533914591,1.47632951,202.74989099999993,433.41034,36.103216554250004,1.4653605034457344,"Barley (irrigated, residues removed)"
Barley|irr|roff|ct,subcountry,2315,51.450689179425915,12.568332,82.3710452794773,0.7837478959999999,163.97098599999995,433.41034,24.75625222777862,1.6009706885017938,"Barley (irrigated, residues removed)"
Barley|irr|roff|ct,ecoregion,658,64.8971324450152,18.314123000000002,89.92149147468493,1.2941294200000002,209.43880900000002,433.41034,37.57452797679331,1.3856003815094895,"Barley (irrigated, residues removed)"
Barley|irr|roff|rt,country,160,21.0359306056875,6.941357249999999,30.825221302648508,0.516715335,70.96245899999998,151.6936,12.6361252094625,1.4653604768174253,"Barley (irrigated, residues removed, reduced till.)"
Barley|irr|roff|rt,subcountry,2315,18.00774062907865,4.3989162,28.829864379697053,0.27431176,57.38984379999998,151.6936,8.664687934704148,1.600970658870052,"Barley (irrigated, residues removed, reduced till.)"
Barley|irr|roff|rt,ecoregion,658,22.71399569305319,6.4099425,31.47252055644207,0.45294529600000005,73.30358600000001,151.6936,13.151084217060182,1.385600357671441,"Barley (irrigated, residues removed, reduced till.)"
Barley|irr|ron|ct,country,160,52.890340436375006,17.4525545,77.50341624926807,1.29917002,178.41990199999995,381.4011,31.770829931,1.4653605102523706,"Barley (irrigated, residues retained)"
