filename;filepath;crop_code;tech_code;technology;irrigation_practice;crop_name
GAEZ-V5.RES05-SIX.HP0120.AGERA5.HIST.SUC.LRLM.tif;C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\SBTN_Test\data\crops\FAO_GAEZ\SuitIndex\GAEZ-V5.RES05-SIX.HP0120.AGERA5.HIST.SUC.LRLM.tif;SUC;LRLM;low_input_rainfed;rf;Sugar cane
GAEZ-V5.RES05-SIX.HP0120.AGERA5.HIST.SWG.HILM.tif;C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\SBTN_Test\data\crops\FAO_GAEZ\SuitIndex\GAEZ-V5.RES05-SIX.HP0120.AGERA5.HIST.SWG.HILM.tif;SWG;HILM;high_input_irrigated;irr;Switchgrass
GAEZ-V5.RES05-SIX.HP0120.AGERA5.HIST.SWG.HRLM.tif;C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\SBTN_Test\data\crops\FAO_GAEZ\SuitIndex\GAEZ-V5.RES05-SIX.HP0120.AGERA5.HIST.SWG.HRLM.tif;SWG;HRLM;high_input_rainfed;rf;Switchgrass
GAEZ-V5.RES05-SIX.HP0120.AGERA5.HIST.SWG.LILM.tif;C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\SBTN_Test\data\crops\FAO_GAEZ\SuitIndex\GAEZ-V5.RES05-SIX.HP0120.AGERA5.HIST.SWG.LILM.tif;SWG;LILM;low_input_irrigated;irr;Switchgrass
GAEZ-V5.RES05-SIX.HP0120.AGERA5.HIST.SWG.LRLM.tif;C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\SBTN_Test\data\crops\FAO_GAEZ\SuitIndex\GAEZ-V5.RES05-SIX.HP0120.AGERA5.HIST.SWG.LRLM.tif;SWG;LRLM;low_input_rainfed;rf;Switchgrass
GAEZ-V5.RES05-SIX.HP0120.AGERA5.HIST.TANN.HILM.tif;C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\SBTN_Test\data\crops\FAO_GAEZ\SuitIndex\GAEZ-V5.RES05-SIX.HP0120.AGERA5.HIST.TANN.HILM.tif;TANN;HILM;high_input_irrigated;irr;Tannia (Xanthosoma sagittifolium)
GAEZ-V5.RES05-SIX.HP0120.AGERA5.HIST.TANN.HRLM.tif;C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\SBTN_Test\data\crops\FAO_GAEZ\SuitIndex\GAEZ-V5.RES05-SIX.HP0120.AGERA5.HIST.TANN.HRLM.tif;TANN;HRLM;high_input_rainfed;rf;Tannia (Xanthosoma sagittifolium)
GAEZ-V5.RES05-SIX.HP0120.AGERA5.HIST.TANN.LILM.tif;C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\SBTN_Test\data\crops\FAO_GAEZ\SuitIndex\GAEZ-V5.RES05-SIX.HP0120.AGERA5.HIST.TANN.LILM.tif;TANN;LILM;low_input_irrigated;irr;Tannia (Xanthosoma sagittifolium)
GAEZ-V5.RES05-SIX.HP0120.AGERA5.HIST.TANN.LRLM.tif;C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\SBTN_Test\data\crops\FAO_GAEZ\SuitIndex\GAEZ-V5.RES05-SIX.HP0120.AGERA5.HIST.TANN.LRLM.tif;TANN;LRLM;low_input_rainfed;rf;Tannia (Xanthosoma sagittifolium)
GAEZ-V5.RES05-SIX.HP0120.AGERA5.HIST.TAROD.HILM.tif;C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\SBTN_Test\data\crops\FAO_GAEZ\SuitIndex\GAEZ-V5.RES05-SIX.HP0120.AGERA5.HIST.TAROD.HILM.tif;TAROD;HILM;high_input_irrigated;irr;Taro dryaland (Colocasia esculenta)
GAEZ-V5.RES05-SIX.HP0120.AGERA5.HIST.TAROD.HRLM.tif;C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\SBTN_Test\data\crops\FAO_GAEZ\SuitIndex\GAEZ-V5.RES05-SIX.HP0120.AGERA5.HIST.TAROD.HRLM.tif;TAROD;HRLM;high_input_rainfed;rf;Taro dryaland (Colocasia esculenta)
GAEZ-V5.RES05-SIX.HP0120.AGERA5.HIST.TAROD.LILM.tif;C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\SBTN_Test\data\crops\FAO_GAEZ\SuitIndex\GAEZ-V5.RES05-SIX.HP0120.AGERA5.HIST.TAROD.LILM.tif;TAROD;LILM;low_input_irrigated;irr;Taro dryaland (Colocasia esculenta)
