file_name,file_path,suffix,SPAM_Crop,Crop,Technology_Suffix,Technology
spam2020_V2r0_global_Y_BANA_A.tif,"C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\Ecoregions CFs\data\crops\spam2020V2r0_global_yield\spam2020_V2r0_global_Y_BANA_A.tif",.tif,BANA,Banana,A,All
spam2020_V2r0_global_Y_BANA_I.tif,"C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\Ecoregions CFs\data\crops\spam2020V2r0_global_yield\spam2020_V2r0_global_Y_BANA_I.tif",.tif,BANA,Banana,I,Irrigated
spam2020_V2r0_global_Y_BANA_R.tif,"C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\Ecoregions CFs\data\crops\spam2020V2r0_global_yield\spam2020_V2r0_global_Y_BANA_R.tif",.tif,BANA,Banana,R,Rainfed
spam2020_V2r0_global_Y_BARL_A.tif,"C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\Ecoregions CFs\data\crops\spam2020V2r0_global_yield\spam2020_V2r0_global_Y_BARL_A.tif",.tif,BARL,Barley,A,All
spam2020_V2r0_global_Y_BARL_I.tif,"C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\Ecoregions CFs\data\crops\spam2020V2r0_global_yield\spam2020_V2r0_global_Y_BARL_I.tif",.tif,BARL,Barley,I,Irrigated
spam2020_V2r0_global_Y_BARL_R.tif,"C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\Ecoregions CFs\data\crops\spam2020V2r0_global_yield\spam2020_V2r0_global_Y_BARL_R.tif",.tif,BARL,Barley,R,Rainfed
spam2020_V2r0_global_Y_BEAN_A.tif,"C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\Ecoregions CFs\data\crops\spam2020V2r0_global_yield\spam2020_V2r0_global_Y_BEAN_A.tif",.tif,BEAN,Bean,A,All
spam2020_V2r0_global_Y_BEAN_I.tif,"C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\Ecoregions CFs\data\crops\spam2020V2r0_global_yield\spam2020_V2r0_global_Y_BEAN_I.tif",.tif,BEAN,Bean,I,Irrigated
spam2020_V2r0_global_Y_BEAN_R.tif,"C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\Ecoregions CFs\data\crops\spam2020V2r0_global_yield\spam2020_V2r0_global_Y_BEAN_R.tif",.tif,BEAN,Bean,R,Rainfed
spam2020_V2r0_global_Y_CASS_A.tif,"C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\Ecoregions CFs\data\crops\spam2020V2r0_global_yield\spam2020_V2r0_global_Y_CASS_A.tif",.tif,CASS,Cassava,A,All
spam2020_V2r0_global_Y_CASS_I.tif,"C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\Ecoregions CFs\data\crops\spam2020V2r0_global_yield\spam2020_V2r0_global_Y_CASS_I.tif",.tif,CASS,Cassava,I,Irrigated
spam2020_V2r0_global_Y_CASS_R.tif,"C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\Ecoregions CFs\data\crops\spam2020V2r0_global_yield\spam2020_V2r0_global_Y_CASS_R.tif",.tif,CASS,Cassava,R,Rainfed
spam2020_V2r0_global_Y_CHIC_A.tif,"C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\Ecoregions CFs\data\crops\spam2020V2r0_global_yield\spam2020_V2r0_global_Y_CHIC_A.tif",.tif,CHIC,Chickpea,A,All
spam2020_V2r0_global_Y_CHIC_I.tif,"C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\Ecoregions CFs\data\crops\spam2020V2r0_global_yield\spam2020_V2r0_global_Y_CHIC_I.tif",.tif,CHIC,Chickpea,I,Irrigated
spam2020_V2r0_global_Y_CHIC_R.tif,"C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\Ecoregions CFs\data\crops\spam2020V2r0_global_yield\spam2020_V2r0_global_Y_CHIC_R.tif",.tif,CHIC,Chickpea,R,Rainfed
spam2020_V2r0_global_Y_CITR_A.tif,"C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\Ecoregions CFs\data\crops\spam2020V2r0_global_yield\spam2020_V2r0_global_Y_CITR_A.tif",.tif,CITR,Citrus,A,All
spam2020_V2r0_global_Y_CITR_I.tif,"C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\Ecoregions CFs\data\crops\spam2020V2r0_global_yield\spam2020_V2r0_global_Y_CITR_I.tif",.tif,CITR,Citrus,I,Irrigated
spam2020_V2r0_global_Y_CITR_R.tif,"C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\Ecoregions CFs\data\crops\spam2020V2r0_global_yield\spam2020_V2r0_global_Y_CITR_R.tif",.tif,CITR,Citrus,R,Rainfed
spam2020_V2r0_global_Y_CNUT_A.tif,"C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\Ecoregions CFs\data\crops\spam2020V2r0_global_yield\spam2020_V2r0_global_Y_CNUT_A.tif",.tif,CNUT,Coconut,A,All
spam2020_V2r0_global_Y_CNUT_I.tif,"C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\Ecoregions CFs\data\crops\spam2020V2r0_global_yield\spam2020_V2r0_global_Y_CNUT_I.tif",.tif,CNUT,Coconut,I,Irrigated
spam2020_V2r0_global_Y_CNUT_R.tif,"C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\Ecoregions CFs\data\crops\spam2020V2r0_global_yield\spam2020_V2r0_global_Y_CNUT_R.tif",.tif,CNUT,Coconut,R,Rainfed
spam2020_V2r0_global_Y_COCO_A.tif,"C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\Ecoregions CFs\data\crops\spam2020V2r0_global_yield\spam2020_V2r0_global_Y_COCO_A.tif",.tif,COCO,Cocoa,A,All
spam2020_V2r0_global_Y_COCO_I.tif,"C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\Ecoregions CFs\data\crops\spam2020V2r0_global_yield\spam2020_V2r0_global_Y_COCO_I.tif",.tif,COCO,Cocoa,I,Irrigated
spam2020_V2r0_global_Y_COCO_R.tif,"C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\Ecoregions CFs\data\crops\spam2020V2r0_global_yield\spam2020_V2r0_global_Y_COCO_R.tif",.tif,COCO,Cocoa,R,Rainfed
spam2020_V2r0_global_Y_COFF_A.tif,"C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\Ecoregions CFs\data\crops\spam2020V2r0_global_yield\spam2020_V2r0_global_Y_COFF_A.tif",.tif,COFF,Arabic Coffee,A,All
spam2020_V2r0_global_Y_COFF_I.tif,"C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\Ecoregions CFs\data\crops\spam2020V2r0_global_yield\spam2020_V2r0_global_Y_COFF_I.tif",.tif,COFF,Arabic Coffee,I,Irrigated
spam2020_V2r0_global_Y_COFF_R.tif,"C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\Ecoregions CFs\data\crops\spam2020V2r0_global_yield\spam2020_V2r0_global_Y_COFF_R.tif",.tif,COFF,Arabic Coffee,R,Rainfed
spam2020_V2r0_global_Y_COTT_A.tif,"C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\Ecoregions CFs\data\crops\spam2020V2r0_global_yield\spam2020_V2r0_global_Y_COTT_A.tif",.tif,COTT,Cotton,A,All
spam2020_V2r0_global_Y_COTT_I.tif,"C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\Ecoregions CFs\data\crops\spam2020V2r0_global_yield\spam2020_V2r0_global_Y_COTT_I.tif",.tif,COTT,Cotton,I,Irrigated
spam2020_V2r0_global_Y_COTT_R.tif,"C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\Ecoregions CFs\data\crops\spam2020V2r0_global_yield\spam2020_V2r0_global_Y_COTT_R.tif",.tif,COTT,Cotton,R,Rainfed
spam2020_V2r0_global_Y_COWP_A.tif,"C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\Ecoregions CFs\data\crops\spam2020V2r0_global_yield\spam2020_V2r0_global_Y_COWP_A.tif",.tif,COWP,Cowpea,A,All
spam2020_V2r0_global_Y_COWP_I.tif,"C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\Ecoregions CFs\data\crops\spam2020V2r0_global_yield\spam2020_V2r0_global_Y_COWP_I.tif",.tif,COWP,Cowpea,I,Irrigated
spam2020_V2r0_global_Y_COWP_R.tif,"C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\Ecoregions CFs\data\crops\spam2020V2r0_global_yield\spam2020_V2r0_global_Y_COWP_R.tif",.tif,COWP,Cowpea,R,Rainfed
spam2020_V2r0_global_Y_GROU_A.tif,"C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\Ecoregions CFs\data\crops\spam2020V2r0_global_yield\spam2020_V2r0_global_Y_GROU_A.tif",.tif,GROU,Groundnut,A,All
spam2020_V2r0_global_Y_GROU_I.tif,"C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\Ecoregions CFs\data\crops\spam2020V2r0_global_yield\spam2020_V2r0_global_Y_GROU_I.tif",.tif,GROU,Groundnut,I,Irrigated
spam2020_V2r0_global_Y_GROU_R.tif,"C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\Ecoregions CFs\data\crops\spam2020V2r0_global_yield\spam2020_V2r0_global_Y_GROU_R.tif",.tif,GROU,Groundnut,R,Rainfed
spam2020_V2r0_global_Y_LENT_A.tif,"C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\Ecoregions CFs\data\crops\spam2020V2r0_global_yield\spam2020_V2r0_global_Y_LENT_A.tif",.tif,LENT,Lentil,A,All
spam2020_V2r0_global_Y_LENT_I.tif,"C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\Ecoregions CFs\data\crops\spam2020V2r0_global_yield\spam2020_V2r0_global_Y_LENT_I.tif",.tif,LENT,Lentil,I,Irrigated
spam2020_V2r0_global_Y_LENT_R.tif,"C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\Ecoregions CFs\data\crops\spam2020V2r0_global_yield\spam2020_V2r0_global_Y_LENT_R.tif",.tif,LENT,Lentil,R,Rainfed
spam2020_V2r0_global_Y_MAIZ_A.tif,"C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\Ecoregions CFs\data\crops\spam2020V2r0_global_yield\spam2020_V2r0_global_Y_MAIZ_A.tif",.tif,MAIZ,Maize,A,All
spam2020_V2r0_global_Y_MAIZ_I.tif,"C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\Ecoregions CFs\data\crops\spam2020V2r0_global_yield\spam2020_V2r0_global_Y_MAIZ_I.tif",.tif,MAIZ,Maize,I,Irrigated
spam2020_V2r0_global_Y_MAIZ_R.tif,"C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\Ecoregions CFs\data\crops\spam2020V2r0_global_yield\spam2020_V2r0_global_Y_MAIZ_R.tif",.tif,MAIZ,Maize,R,Rainfed
spam2020_V2r0_global_Y_MILL_A.tif,"C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\Ecoregions CFs\data\crops\spam2020V2r0_global_yield\spam2020_V2r0_global_Y_MILL_A.tif",.tif,MILL,Small Millet,A,All
spam2020_V2r0_global_Y_MILL_I.tif,"C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\Ecoregions CFs\data\crops\spam2020V2r0_global_yield\spam2020_V2r0_global_Y_MILL_I.tif",.tif,MILL,Small Millet,I,Irrigated
spam2020_V2r0_global_Y_MILL_R.tif,"C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\Ecoregions CFs\data\crops\spam2020V2r0_global_yield\spam2020_V2r0_global_Y_MILL_R.tif",.tif,MILL,Small Millet,R,Rainfed
spam2020_V2r0_global_Y_OCER_A.tif,"C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\Ecoregions CFs\data\crops\spam2020V2r0_global_yield\spam2020_V2r0_global_Y_OCER_A.tif",.tif,OCER,Other Cereals,A,All
spam2020_V2r0_global_Y_OCER_I.tif,"C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\Ecoregions CFs\data\crops\spam2020V2r0_global_yield\spam2020_V2r0_global_Y_OCER_I.tif",.tif,OCER,Other Cereals,I,Irrigated
spam2020_V2r0_global_Y_OCER_R.tif,"C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\Ecoregions CFs\data\crops\spam2020V2r0_global_yield\spam2020_V2r0_global_Y_OCER_R.tif",.tif,OCER,Other Cereals,R,Rainfed
