Area;Item;Unit;Y2014;Y2015;Y2016;Y2017;Y2018;Y2019;Y2020;Y2021;Y2022;Y2023;avg_yield_1423;ratio_yield_20_toavg
Algeria;Bananas;kg/ha;25259.5;23130.6;25018.7;24686.6;24431.3;24727.8;24620.2;24597.3;24649.3;24622.4;24574.37;0.9981385204019463
Algeria;Barley;kg/ha;1186.3;1284.4;744.1;744.1;1811.9;1454.3;1240.3;1056.6;975.6;975.6;1147.32;0.9250342659034104
Algeria;Cabbages;kg/ha;22781.0;21386.9;25205.7;24855.9;26399.5;26969.2;30266.0;32224.7;32350.0;32513.4;27495.23;0.9084527192228904
Algeria;Carrots and turnips;kg/ha;21439.6;20996.5;23314.5;23956.5;24072.2;24015.9;25703.2;24435.7;25833.2;27104.6;24087.19;0.9371280618755641
Algeria;Grapes;kg/ha;7799.7;8609.8;8125.3;8144.1;7250.0;8009.3;7994.9;9930.5;9704.8;9613.7;8518.210000000001;1.0654554778671406
Algeria;Groundnuts, excluding shelled;kg/ha;1533.9;1612.3;2091.3;2774.5;2501.0;2579.2;2623.9;2759.1;2879.5;3172.2;2452.69;0.9347497999161554
Algeria;Maize (corn);kg/ha;2616.5;3924.2;4512.2;1300.7;4441.6;4153.9;6073.9;5127.8;5500.0;6000.0;4365.08;0.7186618153081217
Algeria;Olives;kg/ha;1259.3;1607.9;1643.8;1580.9;1997.1;2013.3;2460.0;1601.4;1804.6;1875.3;1784.36;0.7253495934959349
Algeria;Onions and shallots, green;kg/ha;10946.0;10799.8;10912.9;11019.5;11112.0;10643.5;10923.2;10891.8;10818.8;10877.8;10894.529999999999;0.9973753112640983
Algeria;Oranges;kg/ha;22238.9;23197.0;18582.4;20302.5;24919.7;26031.0;25185.3;24057.7;25227.7;26124.7;23586.690000000002;0.936526068778216
Algeria;Potatoes;kg/ha;29924.7;29609.9;30450.6;30952.4;31091.6;31801.1;31174.4;31864.9;32845.8;33627.9;31334.330000000005;1.0051301709094642
Algeria;Rape or colza seed;kg/ha;1948.0;1953.2;1945.3;1943.5;1943.7;1944.2;1943.8;1943.9;1943.9;1943.9;1945.3400000000001;1.0007922625784547
Algeria;Rice;kg/ha;1777.8;1793.9;1782.7;1793.9;1790.1;1788.9;1791.0;1790.0;1789.9;1790.3;1788.85;0.9987995533221663
Algeria;Seed cotton, unginned;kg/ha;307.7;307.7;307.7;307.7;307.7;306.4;303.0;307.9;310.4;312.8;307.9;1.0161716171617161
Algeria;Sorghum;kg/ha;6200.0;12168.9;25521.4;15939.1;13666.0;7022.7;3764.7;3676.2;7922.1;4821.2;10070.23;2.6749090232953487
Algeria;Sugar beet;kg/ha;;;;;;;;;;;;
Algeria;Sunflower seed;kg/ha;444.4;441.6;443.7;446.9;449.7;452.6;435.8;446.0;444.7;442.1;444.75;1.0205369435520881
Algeria;Tomatoes;kg/ha;47055.1;48359.3;56772.9;53646.7;58672.9;59124.6;62164.7;63740.8;66347.7;69547.5;58543.219999999994;0.941743787068867
Algeria;Unmanufactured tobacco;kg/ha;1966.7;1952.1;2067.2;2121.2;2096.7;3165.8;2178.1;2135.2;2303.9;2484.3;2247.12;1.031688168587301
Algeria;Wheat;kg/ha;1475.3;1464.0;1183.3;1150.1;2043.3;1963.0;1681.1;1584.3;1666.7;1388.9;1560.0;0.9279638332044495
Angola;Bananas;kg/ha;27435.9;28301.9;27372.9;26184.2;24384.4;24895.5;25452.6;25567.9;26665.0;27495.8;26375.609999999997;1.0362638787393035
Angola;Cabbages;kg/ha;29171.0;29550.3;29471.8;29618.6;29197.2;29369.8;29432.2;29439.3;29444.5;29444.5;29413.920000000002;0.9993789115322674
Angola;Carrots and turnips;kg/ha;;;18440.6;18354.2;18285.7;18477.5;18466.4;18415.3;18428.5;18439.4;18413.45;0.9971326300740805
Angola;Cocoa beans;kg/ha;153.4;151.0;162.0;162.4;160.9;163.5;161.0;161.9;162.1;161.7;159.99;0.9937267080745342
Angola;Coffee, green;kg/ha;287.5;287.4;306.2;322.4;327.2;331.2;338.4;330.1;333.2;336.2;319.97999999999996;0.9455673758865247
Angola;Groundnuts, excluding shelled;kg/ha;752.4;797.7;784.3;668.6;627.5;628.7;648.6;633.7;643.5;646.6;683.1600000000001;1.0532839962997225
Angola;Maize (corn);kg/ha;1038.6;1123.4;978.5;893.5;1047.7;1066.6;1099.3;1083.6;1120.3;1149.5;1060.1;0.9643409442372418
Angola;Oil palm fruit;kg/ha;12131.6;12101.6;12100.5;12106.6;12121.4;12126.0;12133.4;12100.4;12101.1;12101.8;12112.439999999999;0.9982725369640826
Angola;Onions and shallots, green;kg/ha;22220.9;22212.6;22219.5;22028.9;22262.9;22707.2;22686.5;22443.2;22472.0;22484.7;22373.84;0.986218235514513
Angola;Potatoes;kg/ha;6323.9;6286.6;6271.7;7207.9;7177.0;7117.4;7195.2;7175.4;7381.0;7059.6;6919.57;0.9616925172337113
Angola;Rice;kg/ha;1406.4;1506.8;1529.5;863.8;1152.3;1193.1;1237.5;1226.6;1232.3;1172.1;1252.0399999999997;1.0117494949494947
Angola;Seed cotton, unginned;kg/ha;1066.7;1000.0;1000.0;1000.0;1133.3;1151.7;828.3;707.9;610.5;1044.4;954.28;1.1520946516962454
Angola;Sorghum;kg/ha;242.1;250.3;219.3;226.6;271.2;221.1;228.6;226.9;233.4;216.9;233.64000000000001;1.0220472440944883
Angola;Soya beans;kg/ha;584.0;651.3;632.3;909.3;982.9;1030.3;1039.8;1024.2;1030.6;1040.1;892.4799999999999;0.8583189074822081
Angola;Sugar cane;kg/ha;39231.4;38999.3;38990.4;39001.3;39001.0;39056.3;39452.1;39337.1;39395.0;39452.2;39191.61;0.993397309648916
Angola;Sunflower seed;kg/ha;706.5;706.9;707.2;707.9;708.3;708.8;709.9;709.5;710.0;710.5;708.55;0.9980983237075645
Angola;Sweet potatoes;kg/ha;11434.2;11517.4;11121.8;8602.2;9471.9;9424.6;9471.6;9516.3;9890.3;9984.8;10043.51;1.0603815617213566
Angola;Tomatoes;kg/ha;10260.2;10375.4;10293.8;10303.6;10167.4;10193.1;10240.5;10258.3;10249.1;10250.6;10259.2;1.0018260827108052
Angola;Unmanufactured tobacco;kg/ha;1021.4;1023.8;1023.9;1026.2;1028.5;1030.6;1034.2;1033.4;1035.3;1016.1;1027.34;0.9933668536066523
Angola;Wheat;kg/ha;977.9;962.2;946.6;931.0;915.3;879.8;652.0;931.0;931.0;931.0;905.78;1.3892331288343558
