ECO ID,Ecoregion name,Threshold,Ecoregion baseline,Target (10% above threshold),Threshold exceedance,Difference between baseline and target,Threshold met or exceeded? (Y/N)
397,Northern Tallgrass prairie,86.0,74.3,94.6,11.7,20.3,Y
398,Palouse prairie,60.0,37.7,66.0,22.3,28.3,Y
399,Southeast US conifer savannas,65.8,39.6,72.4,26.2,32.8,Y
400,Southeast US mixed woodlands and savannas,44.2,57.2,48.6,-13.0,-8.6,N
401,Texas blackland prairies,73.1,40.0,80.4,33.1,40.4,Y
402,Western shortgrass prairie,67.7,32.6,74.5,35.1,41.9,Y
403,Willamette Valley oak savanna,57.3,73.8,63.0,-16.5,-10.8,N
404,Ahklun and Kilbuck Upland Tundra,40.1,106.9,44.1,-66.8,-62.8,N
405,Alaska-St. Elias Range tundra,39.2,87.3,43.1,-48.1,-44.2,N
406,Aleutian Islands tundra,37.8,116.4,41.6,-78.6,-74.8,N
407,Arctic coastal tundra,117.2,99.7,128.9,17.5,29.2,Y
408,Arctic foothills tundra,73.3,89.7,80.6,-16.4,-9.1,N
409,Beringia lowland tundra,97.8,98.3,107.6,-0.5,9.3,Y
410,Beringia upland tundra,85.7,90.2,94.3,-4.5,4.1,Y
411,Brooks-British Range tundra,36.7,81.1,40.4,-44.4,-40.7,N
412,Canadian High Arctic tundra,48.8,68.8,53.7,-20.0,-15.1,N
413,Canadian Low Arctic tundra,53.6,62.5,59.0,-8.9,-3.5,N
414,Canadian Middle Arctic Tundra,64.0,64.5,70.4,-0.5,5.9,Y
415,Davis Highlands tundra,47.8,75.0,52.6,-27.2,-22.4,N
416,Interior Yukon-Alaska alpine tundra,85.5,65.3,94.1,20.2,28.8,Y
417,Kalaallit Nunaat Arctic steppe,41.8,86.6,46.0,-44.8,-40.6,N
418,Kalaallit Nunaat High Arctic tundra,42.8,86.1,47.1,-43.3,-39.0,N
419,Ogilvie-MacKenzie alpine tundra,65.4,65.6,71.9,-0.2,6.3,Y
420,Pacific Coastal Mountain icefields and tundra,39.9,90.1,43.9,-50.2,-46.2,N
421,Torngat Mountain tundra,44.4,80.0,48.8,-35.6,-31.2,N
422,California coastal sage and chaparral,63.7,33.4,70.1,30.3,36.7,Y
423,California interior chaparral and woodlands,64.5,42.2,71.0,22.3,28.8,Y
424,California montane chaparral and woodlands,60.8,37.6,66.9,23.2,29.3,Y
425,Santa Lucia Montane Chaparral & Woodlands,60.3,54.3,66.3,6.0,12.0,Y
426,Baja California desert,64.3,16.8,70.7,47.5,53.9,Y
427,Central Mexican matorral,61.2,40.0,67.3,21.2,27.3,Y
428,Chihuahuan desert,64.6,25.6,71.1,39.0,45.5,Y
429,Colorado Plateau shrublands,66.0,25.0,72.6,41.0,47.6,Y
430,Great Basin shrub steppe,63.4,24.3,69.7,39.1,45.4,Y
431,Gulf of California xeric scrub,63.1,18.9,69.4,44.2,50.5,Y
432,Meseta Central matorral,61.7,36.2,67.9,25.5,31.7,Y
433,Mojave desert,65.4,12.4,71.9,53.0,59.5,Y
434,Snake-Columbia shrub steppe,60.9,35.6,67.0,25.3,31.4,Y
435,Sonoran desert,66.4,15.6,73.0,50.8,57.4,Y
